release_month,n_movies,avg_revenue,median_revenue
1,512,31401516.21875,9424636.0
2,519,52025177.9672447,16756372.0
3,564,66200403.2819149,17989869.5
4,558,62062920.91577061,14702850.5
5,585,98536545.82564102,13417292.0
6,596,121037730.08557047,30000000.0
7,567,93067215.0723104,31554855.0
8,658,45464568.84194529,15043094.0
9,904,32696293.259955753,7531281.5
10,697,48089356.166427545,12902790.0
11,541,95887327.78927912,27100027.0
12,696,96173285.37068966,35726000.5
