budget_tier,n_movies,avg_vote_average,avg_roi,median_roi
<$5M,3714,5.983737596471886,27.168285588183714,1.9285714285714286
$5-20M,2562,6.117194216490817,2.490201767997613,0.7759856630824373
$20-50M,1556,6.118006430868167,1.5447709941586445,0.7203103839285714
$50-100M,718,6.139693593314764,1.5281963136716323,0.9901558625
$100M+,330,6.406666666666666,2.118725193804385,1.7734523377777778
